image_path,image_name,label,is_good
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A12V_x56320_y29696_TL.png,TCGA-C8-A12V_x56320_y29696_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AN-A0XU_x45056_y15360_TL.png,TCGA-AN-A0XU_x45056_y15360_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A0DH_x56320_y26624_BR.png,TCGA-BH-A0DH_x56320_y26624_BR,BRCA.Luminal,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0CM_x33792_y37888_BL.png,TCGA-A2-A0CM_x33792_y37888_BL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-E2-A15O_x74752_y43008_BR.png,TCGA-E2-A15O_x74752_y43008_BR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A18G_x12288_y29696_BL.png,TCGA-BH-A18G_x12288_y29696_BL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A0C1_x62464_y64512_BL.png,TCGA-BH-A0C1_x62464_y64512_BL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A12Z_x55296_y31744_TL.png,TCGA-C8-A12Z_x55296_y31744_TL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A135_x39936_y44032_BL.png,TCGA-C8-A135_x39936_y44032_BL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A1HL_x10240_y41984_TL.png,TCGA-C8-A1HL_x10240_y41984_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AN-A0FD_x90112_y30720_BR.png,TCGA-AN-A0FD_x90112_y30720_BR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-D8-A142_x39936_y38912_BL.png,TCGA-D8-A142_x39936_y38912_BL,BRCA.Basal-like,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A07R_x141312_y16384_TL.png,TCGA-A8-A07R_x141312_y16384_TL,BRCA.Basal-like,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0EY_x19456_y67584_TL.png,TCGA-A2-A0EY_x19456_y67584_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A7-A0DA_x74752_y10240_TL.png,TCGA-A7-A0DA_x74752_y10240_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A18I_x32768_y69632_TR.png,TCGA-BH-A18I_x32768_y69632_TR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0D0_x71680_y33792_TR.png,TCGA-A2-A0D0_x71680_y33792_TR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AO-A03L_x36864_y18432_BL.png,TCGA-AO-A03L_x36864_y18432_BL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AO-A0JE_x143360_y26624_TL.png,TCGA-AO-A0JE_x143360_y26624_TL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A097_x139264_y22528_TL.png,TCGA-A8-A097_x139264_y22528_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A1HI_x14336_y18432_BL.png,TCGA-C8-A1HI_x14336_y18432_BL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A7-A0CH_x8192_y88064_BL.png,TCGA-A7-A0CH_x8192_y88064_BL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A09I_x39936_y35840_TR.png,TCGA-A8-A09I_x39936_y35840_TR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AR-A1AY_x66560_y46080_BR.png,TCGA-AR-A1AY_x66560_y46080_BR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AO-A03N_x54272_y13312_BR.png,TCGA-AO-A03N_x54272_y13312_BR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A04W_x66560_y46080_TL.png,TCGA-A2-A04W_x66560_y46080_TL,BRCA.HER2-enriched,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A0HN_x39936_y50176_TR.png,TCGA-BH-A0HN_x39936_y50176_TR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-E2-A150_x13312_y31744_TR.png,TCGA-E2-A150_x13312_y31744_TR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-E2-A156_x49152_y20480_TL.png,TCGA-E2-A156_x49152_y20480_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A076_x67584_y46080_BR.png,TCGA-A8-A076_x67584_y46080_BR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A12Z_x62464_y32768_BL.png,TCGA-C8-A12Z_x62464_y32768_BL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0D4_x56320_y37888_TR.png,TCGA-A2-A0D4_x56320_y37888_TR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A07I_x10240_y40960_TL.png,TCGA-A8-A07I_x10240_y40960_TL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A1HF_x43008_y65536_BR.png,TCGA-C8-A1HF_x43008_y65536_BR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A06X_x28672_y47104_TL.png,TCGA-A8-A06X_x28672_y47104_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A0E0_x18432_y51200_BL.png,TCGA-BH-A0E0_x18432_y51200_BL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A07C_x136192_y14336_BR.png,TCGA-A8-A07C_x136192_y14336_BR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AN-A0FX_x20480_y22528_TL.png,TCGA-AN-A0FX_x20480_y22528_TL,BRCA.Basal-like,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0ET_x17408_y52224_TL.png,TCGA-A2-A0ET_x17408_y52224_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-B6-A0X4_x19456_y26624_BL.png,TCGA-B6-A0X4_x19456_y26624_BL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-B6-A0RH_x24576_y49152_TL.png,TCGA-B6-A0RH_x24576_y49152_TL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A131_x17408_y31744_BR.png,TCGA-C8-A131_x17408_y31744_BR,BRCA.Basal-like,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AN-A0XU_x28672_y12288_BL.png,TCGA-AN-A0XU_x28672_y12288_BL,BRCA.Basal-like,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A079_x15360_y38912_TL.png,TCGA-A8-A079_x15360_y38912_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A135_x55296_y29696_TR.png,TCGA-C8-A135_x55296_y29696_TR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0YM_x39936_y73728_BL.png,TCGA-A2-A0YM_x39936_y73728_BL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-D8-A142_x65536_y65536_BL.png,TCGA-D8-A142_x65536_y65536_BL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A04T_x73728_y33792_TL.png,TCGA-A2-A04T_x73728_y33792_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-D8-A13Z_x60416_y57344_TR.png,TCGA-D8-A13Z_x60416_y57344_TR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A07W_x34816_y78848_TL.png,TCGA-A8-A07W_x34816_y78848_TL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AR-A0TZ_x18432_y13312_TR.png,TCGA-AR-A0TZ_x18432_y13312_TR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A18P_x31744_y51200_TR.png,TCGA-BH-A18P_x31744_y51200_TR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A0E1_x50176_y21504_TR.png,TCGA-BH-A0E1_x50176_y21504_TR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0D0_x63488_y38912_BR.png,TCGA-A2-A0D0_x63488_y38912_BR,BRCA.Basal-like,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AO-A128_x20480_y16384_TR.png,TCGA-AO-A128_x20480_y16384_TR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A12Z_x33792_y37888_TR.png,TCGA-C8-A12Z_x33792_y37888_TR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A076_x76800_y52224_TR.png,TCGA-A8-A076_x76800_y52224_TR,BRCA.HER2-enriched,1
